"Reference","Value","Footprint","Datasheet","Qty","DNP"
"C1,C2,C3,C5,C6","100nF","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm,Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","5",""
"C4","1.0uF","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm","~","1",""
"C7,C11","1uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","2",""
"C8","4.7uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","1",""
"C9","22uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~","1",""
"C10","470pF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~","1",""
"D1","POWER","LED_THT:LED_D5.0mm","~","1",""
"D2","KEY IND","LED_THT:LED_D5.0mm","~","1",""
"D3,D5,D6","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","3",""
"J1","Conn_02x07_Counter_Clockwise","Package_DIP:DIP-14_W7.62mm","~","1",""
"J2","External","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","1",""
"LS1","Speaker","Buzzer_Beeper:Speaker_CUI_CMR-1206S-67","~","1",""
"Q1","2N3904","Package_TO_SOT_THT:TO-92_Wide","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","1",""
"R1,R2,R3,R4","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","4",""
"R5","200","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1",""
"R6","4.7K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1",""
"R7","10","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1",""
"R8","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1",""
"R9","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~","1",""
"RN1","10K","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf","1",""
"SW1","F","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW2","E","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW3","D","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW4","C","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW5","B","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW6","A","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW7","9","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW8","8","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW9","INPUT","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW10","7","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW11","6","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW12","5","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW13","4","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW14","3","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW15","2","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW16","1","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"SW17","0","LocalFP:SW_Cherry_MX_1.00u_PCB","~","1",""
"U1","MM74C922","Package_DIP:DIP-18_W7.62mm","http://www.ti.com/lit/gpn/snMM74C922","1",""
"U2","74LS245","Package_DIP:DIP-20_W7.62mm","http://www.ti.com/lit/gpn/sn74LS245","1",""
"U3","74C175","Package_DIP:DIP-16_W7.62mm","http://www.ti.com/lit/gpn/sn74LS175","1",""
"U4","NE555","Package_DIP:DIP-8_W7.62mm","http://www.ti.com/lit/ds/symlink/ne555.pdf","1",""
